state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,disc,link
CA,"California State University, Chico",,Department of Geography and Planning,College of Behavioral and Social Sciences,x,,,,x,x,,,,,,,,"Cartography Conservation, Land Use, Resource Management GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Regional Development Transportation and Communication Urban Geography Water Resources",https://www.csuchico.edu/geop/programs/majors.shtml
CA,Sonoma State University,,"Department of Geography, Environment, and Planning",School of Social Sciences,x,,,,x,x, ,,,,x,,,"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Energy Environmental Studies Geomorphology GIS Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",http://gep.sonoma.edu/
CA,"University of California, Davis",,Department of Human Ecology,College of Agricultural and Environmental Sciences,,,,,,,,x,x,,,,,"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Gender GIS Historical Geography Medical Geography Physical Geography/General Political Ecology Political Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://geography.ucdavis.edu/
CA,"California State University, Sacramento ",,Department of Geography,College of Natural Sciences and Mathematics,x,x,,,,x,,,,,,,,Applied Geography Biogeography Cartography Climatology/Meteorology Cultural Geography Geographic Education Geographic Thought GIS Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography,https://www.csus.edu/college/natural-sciences-mathematics/geography/
CA,Cosumnes River College,Geography,,"Science, Engineering, and Math Community",,,x,x,,,,,,,,,,Climatology/Meteorology Cultural Geography Environmental Studies GIS GIS Certification Program Physical Geography/General,https://crc.losrios.edu/academics/programs-and-majors/geography
CA,"University of California, Berkeley",,Department of Geography,College of Letters and Science ,x,x,,,,x,,,x,,,,,"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS Physical Geography/General Political Ecology Political Geography Quantitative Methods Remote Sensing Rural Geography Social Geography Urban Geography Water Resources",https://geography.berkeley.edu/our-department
CA,San Francisco State University,,Department of Geography and Environment,College of Science and Engineering,x,,,,,x,,x,,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",https://geog.sfsu.edu/
CA,Laney College,,Department of Human and Physical Sciences,,,,x,,,,,,,,,,,"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Economic Geography Energy Environmental Studies Geographic Education Geographic Thought Geomorphology Hazards Physical Geography/General Population Geography Quantitative Methods Recreation and Tourism Social Geography Urban Geography Water Resources",https://laney.edu/instruction/degrees-certificates-laney-college/
CA,San Jose State University,,Department of Urban and Regional Planning,College of Social Sciences,,,,,,x,,x,,,,,,"Applied Geography Cartography Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Environmental Studies Gender Geographic Education Geographic Thought GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.sjsu.edu/urbanplanning/
CA,"California State University, East Bay",,"Department of Anthropology, Geography and Environmental Studies","College of Letters, Arts, and Social Sciences",x,,,,x,,,,,,,,,,https://catalog.csueastbay.edu/preview_entity.php?catoid=19&ent_oid=1689&returnto=12552
CA,Cabrillo College,,Department of Geography,Human Arts and Social Sciences Division,x,,x,,,,,,,,,,,,
CA,Modesto Junior College,Geography,,"Business, Behavioral, and Social Sciences Division",,,x,,,,,,,,,,,,https://www.mjc.edu/instruction/bbss/
CA,Las Positas College,Geography,,"Science, Technology, Engineering and Math Community",,,x,,,,,,,,,,,,http://www.laspositascollege.edu/geography/index.php
CA,"California State University, Stanislaus",,"Department of Geography and Environmental Resources
","College of the Arts, Humanities and Social Sciences",x,,,,x,,,,,,x,,,"Applied Geography Conservation, Land Use, Resource Management Environmental Studies GIS","www.csustan.edu/geography/

"
CA,"California State University, Fresno",,Department of Geography and City and Regional Planning,College of Social Sciences,x,,,,,,,,,,,,,,http://www.fresnostate.edu/socialsciences/geography/
CA,"University of California, Santa Barbara",,Department of Geography,College of Letters and Science,x,x,,,x,x,,x,x,,,,,"Agricultural Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Energy Environmental Studies Geographic Thought Geomorphology GIS Location Theory Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.geog.ucsb.edu/
CA,"California State University, Northridge",,Department of Geography and Enviromental Studies,College of Social and Behavioral Sciences,x,,,,,x,,x,,,,,,Applied Geography Cartography Climatology/Meteorology Cultural Geography Environmental Studies Geographic Education Geomorphology GIS Medical Geography Physical Geography/General Population Geography Remote Sensing Water Resources,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies
CA,Los Angeles Pierce College,,Department of Anthropological and Geographical Sciences,School of Social Sciences and Community,x,,x,,,,,,,,,,,,http://www.piercecollege.edu/departments/anthropology_geography/
CA,Los Angeles Valley College,,Department of Earth Sciences,,,,x,,,,,,,,,,,,https://lavc.edu/earthScience/Index.html
CA,"University of California, Los Angeles",,Department of Geography,College of Social Sciences,x,x,,,,x,,x,x,,x,,,"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Environmental Studies Gender Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://geog.ucla.edu/
CA,West Los Angeles College,Geography,,Science Division,,,,x,,,,,,,,,,,http://www.wlac.edu/Science/Geography.aspx
CA,Pasadena City College,Geography,,Natural Sciences Division,,,x,,,,,,,,,,,Applied Geography Biogeography Cartography Cultural Geography Distance/Online Degree Program GIS GIS Certification Program,https://pasadena.edu/academics/divisions/natural-sciences/areas-of-study/geography.php
CA,"California State University, Los Angeles",,Department of Geosciences and Environment,College of Natural and Social Sciences,,,,,,x,,x,,,,,,,https://www.calstatela.edu/academic/geos
CA,East Los Angeles College,,"Department of Anthropology, Geography, Geology",,x,,x,,,,,,,,,,,Cultural Geography  Environmental Studies  Physical Geography/General  Urban Geography,"https://www.elac.edu/Academics/Departments/Anthropology,-Geography,-Geology"
CA,"California State University, Dominguez Hills",,Department of Earth Science and Geography,College of Natural and Behavioral Sciences,x,,,,,x,,,,,,,,,https://www.csudh.edu/university-catalog/2015-16/geography/
CA,Long Beach City College,,Department of Social Sciences,,,,x,,,,,,,,,,,Climatology/Meteorology Cultural Geography Economic Geography GIS Physical Geography/General,https://www.lbcc.edu/program-geography
CA,"California State University, Long Beach",,Department of Geography,College of Liberal Arts,x,x,,,,x,,x,,,,,,"Biogeography  Cartography  Climatology/Meteorology  Conservation, Land Use, Resource Management  Cultural Ecology  Cultural Geography  Economic Geography  Environmental Studies  Gender  Geographic Education  Geographic Thought  Geomorphology  GIS  Historical Geography  Physical Geography/General  Planning (Regional/Urban)  Political Ecology  Political Geography  Quantitative Methods  Remote Sensing  Social Geography  Urban Geography  Water Resources",https://cla.csulb.edu/departments/geography/
CA,Fullerton College,,Department of Geography,Social Science Division,x,x,x,,,,,,,,,,,,https://socsci.fullcoll.edu/geography/
CA,"California State University, Fullerton",,Department of Geography and the Environment,College of Humanities and Social Sciences,x,,,,,,,,,,,,,,http://geography.fullerton.edu/
CA,Orange Coast College,,Department of Geography,School of Social and Behavioral Sciences,x,x,x,,,x,,,,,,,,Applied Geography Climatology/Meteorology Cultural Geography Geographic Education GIS Physical Geography/General,https://prod.orangecoastcollege.edu/academics/social-behavioral/index.html
CA,"California State Polytechnic University, Pomona",,Department of Geography and Anthropology,"College of Letters, Arts, and Social Sciences",x,,,,x,,,,,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Thought GIS Historical Geography Physical Geography/General Planning (Regional/Urban) Regional Development Recreation and Tourism Remote Sensing Rural Geography Urban Geography Water Resources",https://www.cpp.edu/class/geography-anthropology/degree-programs/geography.shtml
CA,Chaffey College,,Department of Geography,"Public Service, Culture and Society Community",x,x,x,,,,,,,,,,,,https://www.chaffey.edu/acc/pcs/pcs-academic/geography.php
CA,San Bernardino Valley College,,Department of Geography,,x,x,x,x,,,,,,,,,,,https://www.valleycollege.edu/academic-career-programs/degrees-certificates/geography/
CA,Crafton Hills College,Geography,,Physical and Biological Sciences Division,,,x,x,,,,,,,,,,,https://www.craftonhills.edu/academic-and-career-programs/divs-and-depts/social-info-and-natural-sciences/physical-and-biological-sciences/geography/
CA,Mount San Jacinto College,Geography and Geographic Information Science, ,"People, Culture and Public Service Pathway ",,,x,,,,,,,,,,,,https://www.msjc.edu/geographyandgis/index.html
CA,College of the Desert,,Department of Social Sciences,School of Social Sciences and Art,,,x,,,,,,,,,,,,http://catalog.collegeofthedesert.edu/programs/social-sciences/aa-geography-transfer/
CA,"California State University, San Marcos",,Department of Liberal Studies,"College of Humanities, Arts, Behavioral and Social Sciences ",,,,,,x,,,,,,,,"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Geographic Education GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Regional Development Remote Sensing Water Resources",https://www.csusm.edu/geography/index.html
CA,Palomar College,,"Department of Earth, Space, and Environmental Sciences",,,,x,,,,,,,,,,,Cartography Climatology/Meteorology Cultural Geography Environmental Studies Geographic Education GIS GIS Certificate Program Hazards Physical Geography/General Remote Sensing,https://www2.palomar.edu/pages/geography/geography-degree/
CA,San Diego Mesa College,,Department of Social Sciences,,,,x,,,,,,,,,,,,https://www.sdmesa.edu/academics/schools-departments/geography/certificates-degrees.shtml
CA,San Diego State University,,Department of Geography,College of Arts and Letters,x,x,,,,x,x,x,x,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Environmental Studies Geographic Education GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Quantitative Methods Remote Sensing Urban Geography Water Resources",https://geography.sdsu.edu/
CA,Southwestern College,Geography,,"Science, Technology, Engineering and Mathematics Division",,,x,,,,,,,,,,,,https://www.swccd.edu/programs-and-academics/programs/geography.aspx
CO,Colorado State University,,Department of Anthropology and Geography,College of Liberal Arts,x,,,,,x,,,,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Gender GIS Hazards Physical Geography/General Political Ecology Political Geography Remote Sensing",https://catalog.colostate.edu/general-catalog/colleges/liberal-arts/anthropology-geography/geography-major/
CO,Front Range Community College,,"Department of Social Science (Boulder County Campus), Department of Social and Behavioral Sciences (Larimer Campus), Department of Science and Technology (Westminster Campus)","Social Science, Education and Public Service Division",,,x,,,,,,,,,,,Applied Geography Climatology/Meteorology Cultural Geography Environmental Studies GIS GIS Certificate Program Physical Geography/General,https://www.frontrange.edu/programs-and-courses/academic-programs/cacs/social-science-education-public-service
CO,Aims Community College,Geography,,,,,x,,,,,,,,,,,,https://www.aims.edu/academics/social-sciences/geography/
CO,University of Northern Colorado,,"Department of Geography, GIS, and Sustainability",College of Humanities and Social Sciences,x,,,,,x,,,,,,,,"Applied Geography Biogeography Cartography Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Energy Environmental Studies Geographic Education GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.unco.edu/hss/geography-gis-sustainability/
CO,"University of Colorado, Boulder",,Department of Geography,College of Arts and Sciences,x,x,,,,x,,x,x,,,,,"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Medical Geography Physical Geography/General Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Social Geography Urban Geography Water Resources",https://www.colorado.edu/geography/
CO,"University of Colorado, Denver",,Department of Geography and Environmental Sciences,College of Liberal Arts and Sciences,x,,,,,x,,x,x,,,x,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Environmental Studies Geographic Education Geomorphology GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://clas.ucdenver.edu/ges/
CO,Metropolitan State University of Denver,,Department of Earth and Atmospheric Sciences,"College of Letters, Arts and Sciences", ,,,,,x,,,,,,,,,https://temp.msudenver.edu/eas/geography-program/gegadvising/
CO,Community College of Denver,Geography,,"Arts, Humanities and Design Pathway",,,x,,,,,,,,,,,,"https://www.ccd.edu/program/geography#:~:text=The%20program%20also%20delves%20into,Bachelor%20of%20Arts%20in%20geography."
CO,"University of Colorado, Colorado Springs",,Department of Geography and Environmental Studies,"College of Letters, Arts and Sciences",x,,,,,x,,x,,,,,,Applied Geography Biogeography Cultural Geography Environmental Studies Geomorphology GIS Certificate Program Physical Geography/General Political Ecology Population Geography Remote Sensing Social Geography Urban Geography Water Resources,https://ges.uccs.edu/
CT,Manchester Community College,,Department of Global Studies,"Social Science, Business and Professional Careers Division",,,x,,,,,,,,,,,Cultural Geography Economic Geography,http://catalog.mcc.commnet.edu/preview_program.php?catoid=12&poid=1789&returnto=1146
CT,University of Connecticut,,Department of Geography,College of Liberal Arts and Sciences,x,x,,,x,x,,x,x,,,,,Applied Geography Cartography Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Population Geography Regional Development Remote Sensing Urban Geography,https://geography.uconn.edu/
DE,University of Delaware,,Department of Geography and Spatial Sciences,"College of Earth, Ocean and Environment",x,,,,,x,x,x,x,,,,,"Agricultural Geography Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Energy Environmental Studies Gender Geographic Education GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Regional Development Remote Sensing Social Geography Water Resources",https://www.udel.edu/academics/colleges/ceoe/departments/gss/
FL,Florida State University,,Department of Geography,College of Social Sciences and Public Policy,x,x,,,,x,,x,x,,,,,"Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Gender Geographic Thought GIS Medical Geography Physical Geography/General Political Geography Remote Sensing Water Resources",https://geography.fsu.edu/programs/undergraduate/geography/
FL,Santa Fe College,,Department of Social and Behavioral Sciences,,,,x,,,,,,,,,,,,https://www.sfcollege.edu/sbs/disciplines/geography/index
FL,University of Florida,,Department of Geography,College of Liberal Arts and Sciences,x,x,,,x,x,x,x,x,,,,,"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Environmental Studies GIS GIS Certificate Program Medical Geography Physical Geography/General Political Geography Quantitative Methods Remote Sensing Water Resources",http://geog.ufl.edu/
FL,Florida International University,,Department of Global and Sociocultural Studies,Steven J. Green School of International and Public Affairs ,,,,,,x,,,,,,,,Cultural Geography Distance/Online Degree Program Economic Geography Environmental Studies Gender Geographic Thought GIS GIS Certificate Program Hazards Medical Geography Political Ecology Political Geography Quantitative Methods Regional Development Remote Sensing Social Geography Urban Geography Water Resources,https://gss.fiu.edu/undergraduate-programs/ba-in-geography/
FL,University of Miami,,Department of Geography and Sustainable Development,College of Arts and Sciences,x,,,,x,x,,x,,,x,,,"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geomorphology GIS GIS Certificate Program Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Social Geography Urban Geography",https://geography.as.miami.edu/index.html
GA,Kennesaw State University,,Department of Geography and Anthropology,Norman J. Radow College of Humanities and Social Sciences,x,,,,,x, ,,,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Geography Environmental Studies Geomorphology GIS GIS Certificate Program Physical Geography/General Population Geography Quantitative Methods Remote Sensing Social Geography Urban Geography",https://radow.kennesaw.edu/geoanth/
GA,Georgia Southern University,,Department of Geology and Geography,College of Science and Mathematics ,x,,,,x,x,,x,,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies GIS Medical Geography Physical Geography/General Political Ecology Population Geography Quantitative Methods Remote Sensing Urban Geography",https://cosm.georgiasouthern.edu/geo/degrees/
HI,"University of Hawaii, Manoa",,Department of Geography and Environment,College of Social Sciences,x,,,,,x,,x,x,,,,,"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Development Economic Geography Environmental Studies Geographic Thought Geomorphology GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Water Resources",https://geography.manoa.hawaii.edu/graduate/
ID,University of Idaho,,Department of Geography,College of Science  ,x,x,,,x,,x,,x,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Energy Geographic Education Geomorphology GIS GIS Certificate Program Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Regional Development Remote Sensing Rural Geography Urban Geography Water Resources",https://www.uidaho.edu/sci/geography/academics
IL,Augustana College,,Department of Geography,,x,x,,,,x,,,,,,,,"Cartography Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Geomorphology GIS Historical Geography Physical Geography/General Planning (Regional/Urban) Urban Geography Water Resources",https://www.augustana.edu/academics/areas-of-study/geography
IL,Northern Illinois University,,Department of Geographic and Atmospheric Sciences,College of Liberal Arts and Sciences,x,,,,x,x ,x,,x,,,,,"Applied Geography Climatology/Meteorology Conservation, Land Use, Resource Management GIS GIS Certificate Program Hazards Medical Geography Population Geography Regional Development Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.niu.edu/clas/geography/index.shtml
IL,Northeastern Illinois University,,Department of Geography and Environmental Studies,College of Arts and Science,x,,,,,x,,x,,,,x,,"Conservation, Land Use, Resource Management Cultural Geography Environmental Studies GIS GIS Certificate Program Planning (Regional/Urban) Social Geography Urban Geography",https://www.neiu.edu/academics/college-of-arts-and-sciences/departments/geography-environmental-studies
IL,Depaul University,,Department of Geography,College of Liberal Arts and Social Sciences,x,x,,,,x,,,,,,,,Environmental Studies GIS GIS Certificate Program Planning (Regional/Urban) Political Ecology Remote Sensing Urban Geography,https://las.depaul.edu/academics/geography/Pages/default.aspx
IL,Illinois State University,,"Department of Geography, Geology and the Environment",Society and Culture Programs,x,,,,x,x,,,,,,,,Biogeography Cartography Climatology/Meteorology Cultural Ecology Cultural Geography Economic Development Environmental Studies Geographic Education GIS Planning (Regional/Urban) Political Ecology Quantitative Methods Regional Development Remote Sensing Social Geography Urban Geography Water Resources,https://geo.illinoisstate.edu/
IL,University of Illinois,,Department of Geography and Geographic Information Science,College of Liberal Arts and Sciences,x,,,,x,x,x,x,x,,,,,"Applied Geography Biogeography Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Environmental Studies Gender Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",http://catalog.illinois.edu/graduate/las/geography-ms/
IL,Eastern Illinois University,,Department of Geology and Geography,College of Liberal Arts and Sciences,x,,,,x,,,,,,,,,Applied Geography Cartography Climatology/Meteorology Cultural Geography Economic Geography Geomorphology GIS GIS Certificate Program Physical Geography/General Quantitative Methods Remote Sensing Water Resources,https://www.eiu.edu/geoscience/geography.php
IL,"Southern Illinois University, Edwardsville",,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,,,,,,,"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Geographic Education Geomorphology GIS Hazards Medical Geography Physical Geography/General Political Geography Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.siue.edu/artsandsciences/geography/
IL,Southwestern Illinois College,,"Department of Geography, History, and Political Science",Arts and Sciences Division,x,,,x,,,,,,,,,,,https://www.swic.edu/academics/transfer-degrees/social-science/geography/
IL,"Southern Illinois University, Carbondale",,Department of Geography and Environmental Resources,Science and Mathematics Program ,x,,,,x,,x,,,,x,x,,,https://cola.siu.edu/geography/undergraduate/
IN,Valparaiso University,,Department of Geography and Meteorology,College of Arts and Sciences,x,,,,x,x,,,,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Environmental Studies Geographic Education Geomorphology GIS Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Urban Geography",https://www.valpo.edu/geography-meteorology/
IN,Ball State University,,Department of Geography,College of Sciences and Humanities,x,x,,,x,x,x,,,,,,,Cartography Climatology/Meteorology GIS GIS Certificate Program Recreation and Tourism,https://www.bsu.edu/academics/collegesanddepartments/geography
IN,"Indiana University - Purdue University, Indianapolis",,Department of Geography,School of Liberal Arts,x,x,,,,x,,,,,,,,Applied Geography Environmental Studies GIS GIS Certificate Program Medical Geography Remote Sensing,https://liberalarts.iupui.edu/geography/
IN,Indiana State University,,Department of Earth and Environmental Systems,College of Arts and Sciences,,,,,x,,,x,,,x,,,,https://www.indstate.edu/cas/ees/undergraduate/majors
IN,Indiana University Bloomington,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,x,x,,,,,"Agricultural Geography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Economic Development Environmental Studies GIS Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Urban Geography Water Resources",https://geography.indiana.edu/
IA,University of Northern Iowa,,Department of Geography,College of Social and Behavioral Sciences,x,x,,,x,x,,x,,,,,,"Applied Geography Cartography Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Energy Environmental Studies Geographic Education Geomorphology GIS GIS Certification Program Hazards Physical Geography/General Planning (Regional/Urban) Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Urban Geography Water Resources",https://csbs.uni.edu/geography
